Nom;Nombre
LASSERRE ;46
ROLLIN ;67
MARIN ;79
ROUX ;36
FRITSCH ;59
LAPIERRE ;98
LOMBARD ;87
THEBAULT ;10
MAILLOT ;85
FORTIN ;39
FAYE ;13
LAUNAY ;47
VERGNE ;99
COURTOIS ;48
NICOLAS ;32
CARTIER ;71
CLAUDEL ;89
GOBERT ;23
GILLET ;80
RAYMOND ;77
LEFEUVRE ;69
HEMERY ;10
BARDIN ;73
MAZET ;93
GAUTHIER ;18
THOMAS ;55
COLIN ;66
BERTHET ;11
SIMONIN ;43
REMOND ;42
FOURCADE ;56
DARRAS ;19
BESSE ;6
LAROCHE ;30
JOLIVET ;64
ROBINET ;97
PHILIPPON ;100
LEGENDRE ;83
CAPRON ;64
RONDEAU ;51
JANVIER ;81
GUILLOUX ;92
COURTIN ;58
DUCHENE ;68
HILAIRE ;25
GIRARD ;74
BOUCHARD ;81
MAILLARD ;34
DELAGE ;5
HONORE ;77
HEMERY ;29
MAITRE ;76
SAVARY ;14
ROUAULT ;23
CHARRON ;57
LABORDE ;26
BONNARD ;76
FOURNIER ;3
NEDELEC ;50
BOUCHE ;29
DURIEUX ;32
GUILLOUX ;98
JOSEPH ;98
BOUVIER ;48
JAMET ;57
GUILLET ;91
MERCIER ;40
DELARUE ;80
BAPTISTE ;27
LEHMANN ;46
DUBUS ;15
ARNAUD ;30
BONTEMPS ;77
BRUNO ;30
DIJOUX ;49
COULON ;10
PRUDHOMME ;2
DUCLOS ;44
VALENTIN ;72
MILLET ;14
BAUDOIN ;1
HAMON ;21
ROUSSEAU ;79
COMBES ;70
COLLIN ;84
MAURY ;36
LAVERGNE ;16
VERGNE ;41
DELCOURT ;70
OGER ;64
LAMOTTE ;56
ARNOUX ;87
JAOUEN ;64
LAURENT ;55
BAZIN ;47
MARY ;17
SERRE ;30
FRANCOIS ;8
GOUJON ;78
FAVRE ;52
PICARD ;87
BOURGEOIS ;95
WOLFF ;75
CAILLE ;3
LANG ;24
FERREIRA ;75
BONHOMME ;92
DUPUY ;95
SABATIER ;22
LELOUP ;39
LECOQ ;7
CHEVRIER ;23
LAGARDE ;28
DEJEAN ;63
LECONTE ;70
LIENARD ;92
ANDRIEUX ;10
JAN ;6
FOULON ;98
GUERIN ;75
MARTINEAU ;1
LOISEL ;94
GAUBERT ;25
AUFFRET ;19
LASSALLE ;44
RAYNAUD ;92
PRUNIER ;3
LASSERRE ;11
LE BRIS ;74
GUILLOUX ;57
MOULIN ;0
MAS ;85
CARON ;38
DUCHESNE ;79
BERTHIER ;69
DELPECH ;12
RAYNAUD ;45
MORET ;73
LIENARD ;7
DELCOURT ;29
GIL ;3
HERNANDEZ ;33
FOURCADE ;34
MAGNIER ;59
GENIN ;71
TROUVE ;5
LECONTE ;13
OLLIVIER ;5
CHAPUIS ;61
VERDIER ;74
RENARD ;70
BLANCHARD ;23
DUPOUY ;25
ROLLIN ;19
ROLAND ;99
LELEU ;43
SCHMITT ;54
GIMENEZ ;55
COMBES ;11
BARRAUD ;56
LEGER ;13
BAUER ;76
LABAT ;40
DESBOIS ;73
LEPRETRE ;64
REMY ;80
BARRAUD ;25
HERVE ;8
JOUVE ;16
PASCAL ;71
METAYER ;89
THEVENIN ;49
BOISSEAU ;81
BERTHET ;11
GARREAU ;71
DEVILLE ;77
ROBERT ;6
POISSON ;9
LABBE ;64
PRAT ;1
GAULTIER ;48
LECERF ;30
JULLIEN ;73
WEISS ;60
WEBER ;35
BOISSEAU ;36
BOUR ;88
DELORME ;99
OLIVIER ;97
MAHE ;11
BOYER ;43
FERRIER ;53
BOSSARD ;74
DEVOS ;84
LEGROS ;33
BELIN ;69
BEAUMONT ;86
VINCENT ;73
SCHMIDT ;1
PARMENTIER ;56
PRUNIER ;29
DAUPHIN ;78
FABRE ;92
FRITSCH ;83
LAURET ;100
GAY ;35
ESNAULT ;35
LEMAITRE ;60
GRAND ;14
CORRE ;75
CONTE ;0
ROYER ;39
PELLERIN ;100
ROTH ;96
ARNAUD ;4
VIVIER ;43
PELLERIN ;77
HERAULT ;61
FOUQUET ;92
BILLET ;2
PEREIRA ;1
LACOMBE ;93
KLEIN ;4
PIERRON ;57
DUBUS ;77
ANDRIEUX ;21
DROUIN ;63
LEBEAU ;73
LAMY ;16
CORDIER ;54
VERRIER ;7
REMY ;88
DENIS ;26
BESSON ;22
BAUDIN ;50
BOIVIN ;20
BERTIN ;84
GUILLEMOT ;93
MAHIEU ;25
CHARBONNIER ;7
LEPRETRE ;85
PAYET ;29
SAVARY ;65
MICHELET ;34
JEANNIN ;75
JAN ;95
CLAIN ;72
LAPLACE ;27
MAILLET ;82
JEANNE ;86
DUBOURG ;7
PETITJEAN ;1
LEGROS ;75
BILLON ;34
FOREST ;24
BRUNET ;76
GUILLON ;22
BILLON ;29
MORET ;24
LE ROUX ;52
FISCHER ;55
GARREAU ;59
PASQUIER ;49
LE BORGNE ;90
ALVES ;13
FONTAINE ;78
GUILLARD ;20
PAGE ;12
ARNOUX ;6
MAUREL ;57
LOMBARD ;26
THIERY ;88
COTTIN ;88
DUCHENE ;78
PARMENTIER ;19
DELAPORTE ;67
CARRE ;41
VASSEUR ;70
DOUCET ;90
MARAIS ;46
BONIN ;40
TEXIER ;8
BILLET ;85
CHAPUIS ;5
COLAS ;34
PAUL ;95
LEVASSEUR ;34
BOSSARD ;51
CORRE ;96
RODRIGUEZ ;38
GILLOT ;42
SALLES ;47
CLAUDE ;52
TISON ;2
CHAPUIS ;66
BOUVET ;55
BUISSON ;28
FAYE ;51
ROUXEL ;69
REMY ;9
BERTHET ;50
GRAS ;5
MARTINEZ ;37
POULET ;30
BLANC ;92
PREVOT ;38
ROLLIN ;84
TOUTAIN ;36
QUERE ;71
MAURY ;37
MOREL ;21
LECLERC ;66
BASTIEN ;62
VERGNE ;6
SIMONET ;20
DELAHAYE ;81
LEON ;13
SARRAZIN ;12
PERRET ;8
TEYSSIER ;49
LATOUR ;3
HUGUET ;93
BARDET ;71
CHEMIN ;94
POULAIN ;99
LELIEVRE ;68
DUPUIS ;67
BAPTISTE ;34
FRITSCH ;84
GROSJEAN ;64
CHAMPION ;70
COMTE ;58
HERVE ;67
GEOFFROY ;19
JEGOU ;90
BESNARD ;76
BOURGEOIS ;84
ROSSI ;8
JULIEN ;86
DROUET ;67
COTTIN ;73
SCHNEIDER ;22
BERTHE ;57
CHAPELLE ;16
BENARD ;81
LAMARQUE ;17
GODEFROY ;100
HUGUET ;91
GROS ;3
HAMON ;43
JANVIER ;74
RAYNAUD ;87
BARDIN ;13
CLEMENT ;19
HUMBERT ;60
WEBER ;69
BERAUD;49
PAYET ;30
TIXIER ;22
COLLIN ;52
MENARD ;20
LAGARDE ;61
RENAULT ;7
BLIN ;56
DELAPORTE ;43
ABADIE ;69
BAILLET ;58
JACQUIN ;6
BONNET ;4
RONDEAU ;24
CHIRON ;34
FELIX ;8
AUGE ;95
CARPENTIER ;11
MENAGER ;84
CARTON ;7
VERGNE ;70
BONNAUD ;76
BOURDON ;59
DUBREUIL ;68
RENAUDIN ;75
GOMEZ ;10
BAUDET ;29
MAHE ;43
WEISS ;50
CLERC ;98
MICHAUD ;74
CROUZET ;0
VILLARD ;92
JOURDAN ;63
PERNOT ;57
PASQUIER ;75
MARTY ;55
HUMBERT ;85
BILLET ;47
AUBERT ;44
SIMON ;76
VACHER ;49
GUEGUEN ;89
COURTIN ;17
MERLIN ;0
SAUVAGE ;59
CLAIN ;26
DAVID ;62
BERNIER ;15
DAUPHIN ;82
FRITSCH ;93
BACH ;43
AUBRY ;45
LEFEUVRE ;6
CHARLET ;6
POULET ;50
JULLIEN ;87
MARTY ;62
LUCAS ;42
BEAUMONT ;73
GUILLEMOT ;1
BARBIER ;49
GARCIN ;54
LANGLAIS ;68
BAUDIN ;99
PERROT ;40
BOISSON ;100
LAPEYRE ;50
LAROCHE ;50
GROSJEAN ;89
GUILLOUX ;72
GASNIER ;87
MAILLOT ;17
GIMENEZ ;64
PELLETIER ;7
BUREL ;93
RIGAL ;68
BARRET ;89
ROUXEL ;40
MORIN ;72
MARTINS ;35
GAULTIER ;23
BASTIEN ;9
IMBERT ;56
RENAULT ;64
BLONDEL ;66
BAUER ;82
ROUAULT ;42
BROSSARD ;44
MIQUEL ;55
BERTIN ;9
PICOT ;11
VIVIER ;2
PRIEUR ;34
REMY ;76
CADET ;2
SCHNEIDER ;6
DUPRAT ;46
COLLIN ;55
GIRAUD ;87
LEPAGE ;47
DENIS ;88
COHEN ;45
DELORME ;90
MOINE ;13
DUMONT ;67
LAMARQUE ;58
LAMBERT ;20
BECKER ;99
MEUNIER ;1
MARTEAU ;95
GERMAIN ;85
PAIN ;84
VINCENT ;40
PAIN ;34
GUYON ;50
PORTIER ;57
LARCHER ;80
MAS ;23
TEYSSIER ;94
PORTIER ;36
LAFONT ;94
DUPUIS ;61
CAILLET ;18
CHARRIER ;77
ROLAND ;41
FAVRE ;92
VALETTE ;94
MANCEAU ;74
JOSEPH ;63
PROST ;42
BAUDOIN ;69
SEGUIN ;38
LAPLACE ;70
LENOIR ;25
LAPIERRE ;34
CORNU ;0
BILLARD ;35
JOUAN ;0
REMY ;10
HUE ;36
PAGES ;25
DESCAMPS ;20
NEVEU ;27
PREVOT ;50
PHILIPPE ;94
DERRIEN ;75
MARCHAL ;42
BERNARD ;51
DURET ;55
DARRAS ;73
PERRON ;32
LAFON ;7
JACOB ;31
TECHER ;3
BENOIT ;71
TEXIER ;11
SOULARD ;28
DANIEL ;30
VIGNERON ;52
JOSEPH ;56
ANDRIEU ;95
OLIVIER ;29
LE FLOCH ;41
DELPECH ;42
TELLIER ;90
CARTON ;22
RONDEAU ;76
PERROT ;59
GABRIEL ;19
FAURE ;25
FORTIN ;57
LEDOUX ;44
NAVARRO ;42
PEPIN ;57
FOUQUET ;17
FORT ;23
HOARAU ;74
GERARD ;50
MENAGER ;76
WEBER ;92
LASSALLE ;0
STEPHAN ;56
GOBERT ;75
FAURE ;4
PUJOL ;74
SAMSON ;18
GIMENEZ ;92
BARTHELEMY ;11
GENET ;28
LASSERRE ;76
LALLEMENT ;9
TARDY ;77
VIVIER ;40
DUMONT ;88
LECUYER ;40
GUILLET ;9
HEBERT ;15
VIDAL ;76
ROLLET ;20
GERMAIN ;87
LAMOTTE ;27
DAVID ;80
LABBE ;1
THIEBAUT ;57
MORET ;66
MENAGER ;96
LEFEVRE ;82
JOUBERT ;14
GONTHIER ;77
METAYER ;38
SANCHEZ ;25
GONCALVES ;98
LEMONNIER ;4
GILBERT ;32
NEDELEC ;35
CORNU ;27
ARNOUX ;66
MARTINEAU ;67
BLOT ;10
GUY ;61
VIGIER ;16
TERRIER ;9
BOUR ;34
JAMES ;31
LEVEQUE ;37
MACE ;8
VILLETTE ;14
COTTIN ;90
DELAMARE ;16
OLIVIER ;22
COSTE ;43
BUREAU ;6
FRITSCH ;80
ROGER ;67
TOUSSAINT ;67
CHAUVET ;2
BOURBON ;24
AUBERT ;33
LE BIHAN ;69
DEVAUX ;79
CAPELLE ;93
COLAS ;17
DEVAUX ;23
MAITRE ;55
LABORDE ;70
DOUCET ;33
BLAISE ;53
LE BIHAN ;25
THEVENET ;54
PETER ;23
BAYLE ;47
BUISSON ;77
JARDIN ;49
GEOFFROY ;50
BOYER ;53
REY ;12
DELAPORTE ;18
TISSOT ;43
LAVIGNE ;5
PAGE ;69
PELLETIER ;0
SCHMITT ;1
DEMAY ;73
GROSS ;62
CHAUVEAU ;18
PORTE ;15
DIDIER ;51
TISON ;92
DUBOIS ;32
SARRAZIN ;32
HUE ;53
ARMAND ;55
VALENTIN ;53
MATHIEU ;56
COLLET ;84
FABRE ;77
ROUSSEL ;0
NORMAND ;11
ROUAULT ;56
CHEMIN ;94
BASTIEN ;4
GICQUEL ;5
TERRIER ;82
JOLIVET ;30
FERREIRA ;13
HENRY ;91
BEAUMONT ;13
LEJEUNE ;27
BASTIDE ;14
PAGE ;43
FUCHS ;74
LACOUR ;71
TOUSSAINT ;78
LOISON ;58
JACQUIN ;81
MORICE ;1
FABRE ;81
BLIN ;52
BRIAND ;22
BOISSEAU ;35
PASQUIER ;39
LANGLOIS ;96
GOSSELIN ;37
ROUSSEAU ;34
PINEAU ;1
NOEL ;90
POULAIN ;36
DA SILVA ;12
MORIN ;71
GOURDON ;8
COLLET ;87
BERTRAND ;75
OGER ;32
PINSON ;28
MOUTON ;48
CARRIERE ;56
MAILLOT ;61
MAILLOT ;25
LEMERCIER ;62
FLEURY ;13
MAITRE ;49
AUVRAY ;31
ACHARD ;80
LEPINE ;87
CARTIER ;13
LEPINE ;22
MOREL ;17
LEFORT ;13
LIENARD ;97
DEJEAN ;65
DIOT ;65
MOREAU ;76
VIGOUROUX ;86
LECERF ;99
GAUTIER ;20
LEGENDRE ;92
LOPES ;49
HUE ;69
MARCHAL ;85
VOISIN ;0
TIXIER ;28
ANDRE ;81
MACE ;2
GODET ;48
BRUNET ;72
GENTY ;46
GROS ;81
NAVARRO ;43
ROLLAND ;18
TIXIER ;73
SICARD ;85
LEGENDRE ;21
BERNIER ;3
MARTEL ;33
LELIEVRE ;92
LEMERCIER ;42
LEGRAND ;88
PHILIPPON ;1
DELANNOY ;96
GROS ;21
CARRE ;43
MAILLOT ;33
GICQUEL ;84
BRUYERE ;52
BONTEMPS ;41
PELTIER ;57
COUDERT ;86
BOURGUIGNON ;98
TARDY ;25
GUILLOUX ;80
HUBERT ;40
LUCAS ;95
LALLEMAND ;51
TIXIER ;17
BRUNEL ;90
COLLIGNON ;85
MARTEAU ;29
LEBON ;14
BOISSON ;40
PRUDHOMME ;50
OGER ;56
BOURDON ;87
LE ROY ;67
DELARUE ;80
COLLIGNON ;34
AUFFRET ;15
GUICHARD ;40
BERNARD ;69
CAPELLE ;62
TORRES ;16
THEVENIN ;35
HONORE ;95
LELOUP ;59
ROCHER ;43
PAYEN ;19
LASSALLE ;55
CHAPELLE ;25
CALVET ;57
SCHWARTZ ;38
SOULIE ;38
MUNOZ ;47
CHARDON ;23
TEXIER ;40
BOULANGER ;88
SELLIER ;100
DUFOUR ;68
BENOIST ;89
COSTE ;73
VARLET ;69
BEGUE ;77
BRUNO ;38
LAVAL ;85
PEPIN ;29
HERVE ;72
LE ROUX ;99
AUBRY ;47
LAMOUR ;6
BOURBON ;51
DURIEZ ;88
RIO ;31
BLANC ;74
GAILLARD ;84
HERVE ;70
SAUVAGE ;4
LECERF ;56
RENAULT ;42
NAVARRO ;66
MENAGER ;60
ROUSSELLE ;57
VIGIER ;91
CHABERT ;2
BOULET ;62
CLAVERIE ;9
BELLANGER ;51
VIALA ;26
LEFEVRE ;31
HENRY ;64
MILLET ;87
ROBERT ;75
BLOT ;5
LESUEUR ;35
LELONG ;17
BOCQUET ;59
PINTO ;55
PREVOT ;15
COMBES ;8
DURET ;19
AUGER ;50
MAURICE ;21
DEVILLERS ;93
LERAY ;23
LAURET ;57
LANGLOIS ;38
PAILLARD ;48
MONTEIL ;15
SIMONNET ;13
BLOT ;17
PONCET ;14
ROTH ;19
PERNOT ;93
LEJEUNE ;50
DELORME ;37
RIBEIRO ;21
MARTINS ;26
BRIAND ;6
BASTIDE ;59
CHABOT ;91
GONZALEZ ;73
LALLEMENT ;1
PERRIER ;46
GRAS ;19
SCHMIDT ;46
PIERRON ;35
BORDES ;83
LACROIX ;36
MUNOZ ;25
FOURNIER ;97
BOUTET ;26
MARTIN ;13
DEVAUX ;36
MEYER ;30
ROUAULT ;38
LESAGE ;53
NICOLAS ;83
DAVID ;87
KLEIN ;90
CAPRON ;31
CHARPENTIER ;51
DIAZ ;64
FONTAINE ;95
DESCAMPS ;54
MOULIN ;87
GONTHIER ;95
LEBEAU ;7
PRUVOST ;82
TANGUY ;53
PREVOT ;21
BESNIER ;36
MAHE ;9
PARISOT ;96
JACOB ;58
GONCALVES ;12
BARRE ;77
BOUCHER ;21
DUBUS ;95
SIMONNET ;95
OLIVE ;5
GABRIEL ;20
JOURDAIN ;15
SCHNEIDER ;15
MEYER ;78
JACOB ;60
DELAPORTE ;92
COCHET ;85
MORICE ;12
JACQUOT ;38
GEORGE ;28
LOPEZ ;63
POTTIER ;21
CAILLE ;54
JUNG ;10
BAUDOUIN ;4
JACQUEMIN ;28
BONNIN ;69
PAYEN ;52
CHAPELLE ;75
BECKER ;89
TELLIER ;35
LELEU ;93
GILBERT ;49
VERNET ;95
BILLARD ;64
LAFOND ;47
MAURIN ;67
LOPES ;60
LEMOINE ;39
LEPINE ;75
COLLIN ;38
GRANGE ;94
FAVRE ;63
GILLOT ;54
GRANGER ;71
LECERF ;20
NEVEU ;44
ETIENNE ;37
CHOQUET ;31
CAZENAVE ;38
PICARD ;27
HUSSON ;71
BOURGUIGNON ;97
ROCHE ;1
RIBEIRO ;87
MARECHAL ;46
COMTE ;100
BOUQUET ;51
MONNET ;46
GIRAULT ;79
CORMIER ;22
DUCHENE ;90
BONNET ;7
CHOPIN ;43
MARTEL ;94
DUBOS ;68
OLLIVIER ;73
OLLIVIER ;56
PAPIN ;64
LOMBARD ;24
LECLERC ;66
JAOUEN ;99
BRIAND ;63
DUBREUIL ;36
FOUCAULT ;94
BELIN ;51
DENIS ;47
PERON ;71
CHOLLET ;57
ANTOINE ;20
DEVOS ;76
FORESTIER ;38
NORMAND ;51
BIGOT ;72
BAUDRY ;88
ALIX ;42
KOCH ;1
GALLOIS ;97
GOSSELIN ;14
DUVAL ;83
NOEL ;90
AUGE ;66
BRIERE ;66
CLERC ;55
MIQUEL ;64
TISSIER ;50
GOSSET ;55
BOSC ;1
DUPUIS ;43
SERRES ;59
SEGUIN ;97
RAIMBAULT ;62
NAVARRO ;12
VIDAL ;53
PAGE ;56
OGER ;84
BOURGEOIS ;85
MILLE ;55
VALENTIN ;46
LEPRETRE ;81
LEONARD ;48
CROUZET ;10
JULLIEN ;21
GUILLOUX ;27
BOIVIN ;8
JOUAN ;76
DURIEZ ;49
RUIZ ;25
VILLENEUVE ;22
MILLE ;99
ALLAIN ;29
GARCIN ;57
LE BRIS ;82
GUILLOU ;16
GUILLARD ;48
SOULIE ;54
WEISS ;94
MIGNOT ;0
PONCET ;98
GEFFROY ;41
CHIRON ;71
CHEVALLIER ;81
BRIERE ;50
LENOIR ;82
CHAPUIS ;57
BAILLEUL ;26
JEANNE ;71
VERDIER ;95
SCHMIDT ;73
BILLARD ;81
GIL ;71
JOLLY ;1
LAURENT ;25
CASANOVA ;0
POISSON ;43
HUE ;36
MARTINEZ ;6
LE CORRE ;68
ARMAND ;90
TROUVE ;74
DELCOURT ;76
BOULARD ;28
BLANC ;61
MARCEL ;23
LATOUR ;90
BESNIER ;49
FERNANDES ;65
BECKER ;66
MARIE ;41
BRUNEL ;51
BROUSSE ;11
FLEURY ;27
MOUTON ;60
ANDRIEU ;9
LEMERCIER ;51
ROLLAND ;35
VIDAL ;57
ROUSSELLE ;30
DURIEZ ;84
PINEL ;97
OUVRARD ;25
THEVENET ;31
COLAS ;55
ROUSSEL ;38
GIRAULT ;74
MAHE ;46
BOURGEOIS ;91
VERRIER ;80
BILLARD ;79
LECOCQ ;80
DIDIER ;5
DUMAS ;86
SAVARY ;76
GERVAIS ;35
GRAS ;93
MANCEAU ;49
GUILBAUD ;72
JOLLY ;35
DIDIER ;46
MALLET ;27
GRONDIN ;92
PAGE ;28
LECLERC ;8
TISSERAND ;52
PERNOT ;62
BOUSQUET ;33
BOUVET ;39
TEXIER ;67
VERDIER ;24
HUSSON ;90
CAILLET ;54
BOULAY ;42
MARTEL ;66
CHARRIER ;98
JACQUIN ;47
CHOQUET ;31
BELLANGER ;4
MARTY ;60
ROSE ;95
FEVRIER ;14
ALIX ;34
RENAUD ;50
BILLARD ;98
GUICHARD ;91
MARTY ;65
COLLIN ;37
CONSTANTIN ;15
OUVRARD ;33
ROSSI ;31
MIQUEL ;18
NEVEU ;96
GIL ;77
FERNANDEZ ;16
LAROCHE ;66
COLLIN ;40
BILLARD ;14
RENAULT ;16
BONNOT ;38
GUICHARD ;36
CHARDON ;91
PICARD ;61
NGUYEN ;2
CHAMBON ;8
VILLAIN ;44
BRIERE ;61
COUDERT ;82
LEPAGE ;59
BOUTET ;84
GODARD ;97
SAULNIER ;85
RIO ;98
ROBIN ;65
GAULTIER ;30
JEGOU ;7
MERLET ;85
BOISSON ;94
LEFEUVRE ;24
LEMAIRE ;9
JOLY ;35
CHARBONNIER ;77
LEBLOND ;5
JOLIVET ;93
GRANDJEAN ;65
THUILLIER ;88
NEDELEC ;89
ARNOULD ;41
JOUVE ;41
VACHER ;18
NICOLAS ;41
GARCIN ;59
RENOU ;63
THUILLIER ;35
BASTIEN ;87
LEBEAU ;4
LE BIHAN ;3
HONORE ;74
GERVAIS ;79
GOSSELIN ;57
DIOT ;99
DARRAS ;41
BELIN ;37
HERAULT ;37
CORNU ;4
COURTIN ;95
CARPENTIER ;8
BARREAU ;26
NORMAND ;87
DEVAUX ;8
FOURNIER ;2
TISON ;63
GERVAIS ;10
BAUER ;64
GALLAND ;91
SAUNIER ;60
MAGNIN ;42
CROS ;64
DORE ;17
AUBERT ;11
THERY ;5
JEANNIN ;95
CONSTANT ;88
METAYER ;63
GUY ;72
PERNOT ;40
TAVERNIER ;85
POULET ;50
LECUYER ;93
BARRET ;26
BOYER ;13
CARIOU ;89
TANGUY ;56
BARBIER ;42
TAVERNIER ;99
DELAUNAY ;23
DESHAYES ;11
FOUQUET ;20
LARCHER ;82
GUILBERT ;31
ROUX ;44
VALETTE ;62
CHARLOT ;18
BELIN ;69
ROUSSET ;17
VERGER ;18
SEGUIN ;36
PUJOL ;87
DUPRAT ;46
JAN ;70
RAMBAUD ;9
REMOND ;66
LE GAL ;31
AUBRY ;72
BLANCHARD ;10
MARTINS ;20
GAUDIN ;8
CHAUVIN ;72
BOCQUET ;64
TISSOT ;4
GUILLARD ;98
DIAZ ;89
CHOLLET ;14
GUILLON ;36
COHEN ;88
TEXIER ;35
ROUX ;22
LEMAIRE ;70
GRAS ;85
BONNOT ;88
BIGOT ;67
GUERIN ;35
PELTIER ;45
COUTURIER ;53
HERNANDEZ ;75
CONSTANTIN ;22
PINEAU ;2
BROCHARD ;55
CHARLET ;17
FOUCAULT ;8
LEON ;80
CARLIER ;92
FERRY ;17
COSTE ;58
SAMSON ;57
GALLET ;57
TARDY ;22
MOUNIER ;3
CASANOVA ;36
MURAT ;40
BESNIER ;25
LAPLACE ;14
BERAUD;87
MEUNIER ;41
FAUVEL ;41
LEMAITRE ;21
JACQUEMIN ;47
MICHAUX ;57
CHARPENTIER ;32
LALLEMENT ;34
PEREIRA ;46
SENECHAL ;54
ACHARD ;58
LEGAY ;4
JOUVE ;72
BORDES ;78
CALVET ;87
BAUDIN ;57
DUBOIS ;10
JARRY ;63
LABAT ;72
CHATEAU ;55
PREVOST ;14
FORT ;33
GROSJEAN ;69
MARIN ;34
BOREL ;59
BOUTIN ;93
GUILBAUD ;86
AUBERT ;77
BRUNEAU ;90
BONNIN ;27
BACH ;79
TIXIER ;59
LANG ;24
DIDIER ;5
BOUCHARD ;58
DUPUIS ;66
NICOLAS ;89
DUPUIS ;75
LAGRANGE ;45
VILLARD ;61
MOUTON ;76
GUIRAUD ;35
ROUSSELLE ;18
PICHON ;69
CORNU ;2
BASSET ;6
LEMARCHAND ;34
CHAUVIN ;4
RIGAL ;66
VERGNE ;50
ARNOULD ;52
PHILIPPON ;60
LEMARCHAND ;95
LE GUEN ;60
PINTO ;25
MARTEAU ;65
DUMONT ;32
MONNET ;67
TOURNIER ;77
ROBINET ;47
MASSON ;74
MARTEL ;44
FERRY ;48
CHARBONNIER ;94
THUILLIER ;63
DURIEZ ;63
ROLLIN ;97
REMY ;53
LEBLOND ;21
BOURGUIGNON ;55
DEVOS ;66
BARBE ;72
BERTIN ;87
BAUER ;33
FOREST ;41
FOREST ;64
CELLIER ;45
PROUST ;7
LEMAIRE ;55
BESSE ;70
LEMAIRE ;26
DUJARDIN ;11
BAPTISTE ;81
LHOMME ;11
CHARPENTIER ;52
LE CORRE ;34
KELLER ;67
CHAUVEAU ;86
OUVRARD ;10
LAINE ;44
LHOMME ;23
ARNAL ;78
MAILLARD ;63
TISSERAND ;42
DORE ;28
COLLIGNON ;41
BROSSARD ;48
GEORGES ;36
JOLY ;30
SALLE ;45
GAUDIN ;46
BARRE ;99
GODIN ;42
LECUYER ;72
MAURY ;20
CHEVRIER ;1
PETIT ;99
ALLAIN ;40
MONTEIL ;71
ROSE ;14
LAMBERT ;80
DUBREUIL ;78
ALBERT ;21
CHARTIER ;50
CARLIER ;25
FORT ;48
LAPIERRE ;29
SALAUN ;22
BESNIER ;46
DUPONT ;35
MICHAUX ;74
DELAMARE ;68
BASTIDE ;49
MARTEL ;35
QUENTIN ;6
DUBOIS ;45
CROUZET ;63
CARTIER ;74
GUEGAN ;28
POIROT ;21
BAUDRY ;36
CARTIER ;63
HOARAU ;100
TANGUY ;12
DELPECH ;99
BENOIST ;97
JACQUEMIN ;49
LEGENDRE ;75
ROLLIN ;20
BLANCHET ;69
ALEXANDRE ;3
VIALA ;76
PAGES ;56
LE BRUN ;78
PROVOST ;44
LAVERGNE ;11
CHERON ;37
BEAU ;50
LEBRETON ;76
PICHARD ;83
CROS ;9
ROUSSEL ;5
BAUDRY ;43
VIALA ;21
MARIE ;20
ROCHER ;44
LIENARD ;33
LAPIERRE ;98
BON ;72
QUENTIN ;47
GAY ;88
COMBE ;64
POUGET ;33
RIVIERE ;89
